Unnamed: 0,X,Y,3.0
10054,50.5626297,20.8967113,301.3739670961655
5388,49.9601364,13.778511,301.96431613339485
7912,50.2672997,18.4817638,301.60289000167467
1070,25.3144302,1.5579437,306.8299375716
10047,50.6201782,20.7699547,301.37169389402334
12349,59.4557495,11.7516632,299.9957712837069
8953,49.9875755,20.1019058,301.6882505709441
4178,64.877327,-2.31657767,300.31418085513684
7822,50.1149902,18.7348309,301.66435488452896
5257,52.3519058,12.8315678,301.14345744324936
2248,10.4637337,16.3445377,307.46119066697236
7965,49.9548721,18.4024773,301.71377059103213
10185,55.0508118,21.319479,300.1114934980927
9625,50.0853119,21.9176521,301.5824317874694
3916,56.7000046,1.13569868,301.4940949712414
11647,53.6646996,21.6540337,300.21758941057755
1715,29.4589863,8.20232868,308.5846181965492
8819,50.1653099,20.395937,301.5980727020811
13224,56.3909225,21.664196,300.0604294193636
13674,56.6070557,22.6069145,300.04111297856895
618,0.484871954,8.98937416,305.63325104318665
3649,54.3136559,5.03292274,301.47938583176904
3485,45.1619492,8.75371552,304.1426870021476
9132,49.9641953,21.2627563,301.6603175131042
4469,58.2515831,10.1667585,300.2539851262806
