Unnamed: 0,X,Y,2.0
10054,50.5626297,20.8967113,300.57619807222073
5388,49.9601364,13.778511,300.53677962282495
7912,50.2672997,18.4817638,300.6073605514705
1070,25.3144302,1.5579437,308.89911213318453
10047,50.6201782,20.7699547,300.54868742385423
12349,59.4557495,11.7516632,300.4197445829136
8953,49.9875755,20.1019058,300.74856854429663
4178,64.877327,-2.31657767,300.0275626972622
7822,50.1149902,18.7348309,300.6636242853033
5257,52.3519058,12.8315678,300.19588328732146
2248,10.4637337,16.3445377,311.62275118758265
7965,49.9548721,18.4024773,300.7148888146828
10185,55.0508118,21.319479,299.9338341381236
9625,50.0853119,21.9176521,300.8357239653022
3916,56.7000046,1.13569868,300.43693816744235
11647,53.6646996,21.6540337,299.94770497539184
1715,29.4589863,8.20232868,309.19021771371416
8819,50.1653099,20.395937,300.6940178786636
13224,56.3909225,21.664196,300.01221349681816
13674,56.6070557,22.6069145,300.03364143570724
618,0.484871954,8.98937416,302.9026882473377
3649,54.3136559,5.03292274,300.22524527965993
3485,45.1619492,8.75371552,303.3054830776422
9132,49.9641953,21.2627563,300.82569955022853
4469,58.2515831,10.1667585,300.1496528332786
