Unnamed: 0,X,Y,2005.0
12209,56.73621368,21.92175293,297.94122397506203
2364,32.64089966,2.297075987,297.2064503798116
11358,54.90478897,22.95000076,297.85238394870134
11921,56.49177551,22.88687325,297.91852745980833
4899,49.98569489,15.95020771,297.7415701099055
7526,50.42731476,18.47517204,297.7266878397731
2982,39.05225754,1.218835354,297.4844452967313
2690,35.49131012,16.15081024,297.1423855037892
8750,51.22775269,21.81089211,297.71595884115743
2145,28.71453285,1.812447786,297.0511944889239
5229,49.99915314,14.81834888,297.7569430252855
11000,54.04470825,22.72922707,297.8198753540085
3815,49.82527161,13.41770077,297.7681245889486
918,9.641084671,1.765702367,296.26678376049324
8866,51.35503387,22.00970268,297.7185945129938
9629,52.24177551,12.54720402,297.87897986055276
10579,53.62172318,22.29783821,297.8081141962102
7768,50.51951981,17.13139725,297.7480763427593
12399,57.11485291,3.657337189,298.1959370955983
12808,58.81770325,19.47906494,298.0588748751327
3071,40.63489532,-0.9960519075,297.57858200386363
6914,50.26264191,14.32435894,297.7742552898938
11714,56.20061111,21.58386803,297.9236035071656
1297,16.0429821,2.089171886,296.5260372410294
9324,51.8873558,21.96919441,297.74103411626504
